field1,field2,field3,field4,field5,refkey1,refkey2
unit,apply,383.17,allow,9.119,yard,control
structure,economy,686.69,sell,2.861,same,grow
despite,without,614.48,indicate,0.307,lead,through
behavior,glass,929.21,watch,2.1,suggest,machine
firm,program,83.19,hospital,2.427,high,strategy
without,prove,466.21,design,0.423,only,arm
relationship,Republican,971.29,ball,8.346,audience,movie
bed,international,620.1,require,3.59,present,book
military,trip,544.22,dark,2.372,remain,everything
nature,all,166.79,yeah,8.352,class,threat
present,attack,512.56,pretty,8.33,lawyer,foot
industry,turn,677.2,send,9.915,serve,provide
impact,rich,847.64,carry,6.543,ready,yard
party,start,93.36,audience,4.095,pass,control
policy,space,113.81,likely,8.391,inside,major
another,money,14.28,wife,9.198,follow,base
social,play,682.91,today,5.099,responsibility,represent
firm,little,417.29,learn,3.922,agreement,future
couple,white,200.33,three,0.154,music,move
worker,serve,689.9,financial,6.258,property,old
age,should,91.47,build,1.624,glass,second
choice,soldier,375.08,dark,9.862,how,indeed
everything,question,717.5,ahead,7.382,avoid,me
down,especially,143.63,deep,4.402,stage,training
drive,other,190.42,perhaps,6.634,one,suddenly
list,commercial,744.71,standard,5.005,agree,role
stand,out,590.29,option,6.95,year,decade
begin,consumer,307.04,determine,4.835,alone,work
drive,sell,698.86,behavior,9.348,week,usually
pull,property,387.77,fear,8.934,event,girl
could,all,408.73,report,0.616,fall,thus
deal,close,335.97,protect,8.722,song,north
instead,ask,350.64,moment,6.297,box,wrong
off,new,583.16,here,3.017,data,west
professor,tend,542.41,social,9.399,bed,soon
subject,you,815.58,set,2.519,hold,range
answer,light,418.23,east,7.269,return,audience
than,base,442.74,rest,4.104,likely,court
type,walk,251.79,deep,8.682,appear,firm
economy,actually,409.69,prevent,3.946,whole,market
cultural,nearly,225.09,full,6.135,admit,morning
always,himself,763.15,nor,5.166,beyond,quite
treat,question,903.39,produce,2.688,task,history
eight,everybody,725.04,story,3.997,newspaper,probably
continue,especially,108.65,expect,1.752,sing,letter
candidate,mind,522.55,alone,9.51,increase,could
data,weight,891.93,admit,8.449,if,tough
history,debate,169.32,choice,2.517,relationship,vote
represent,serve,424.2,visit,3.262,second,education
possible,camera,480.91,eye,5.153,deal,water
southern,blue,629.95,current,9.522,student,listen
write,finally,44.2,Democrat,1.285,role,effort
responsibility,throughout,626.38,report,0.545,baby,improve
onto,probably,66.33,per,1.991,idea,seven
reason,himself,551.82,mother,2.391,nor,increase
myself,strong,775.32,dog,7.644,face,conference
radio,grow,645.76,security,5.753,identify,cause
heart,store,278.0,deep,7.466,class,cost
matter,real,991.19,speak,1.197,style,than
west,lead,327.89,after,9.008,manage,hospital
artist,across,706.92,stock,3.003,forward,power
center,with,930.0,you,2.792,late,green
far,section,622.43,lose,9.658,too,good
important,red,678.83,concern,2.153,word,the
campaign,cold,476.94,toward,5.281,behind,parent
item,financial,270.13,wait,1.349,customer,along
even,art,528.87,last,7.677,international,show
mouth,huge,290.46,truth,5.974,side,theory
current,today,699.29,difficult,7.852,international,ever
little,above,59.75,tough,0.469,chance,generation
quality,cup,833.29,morning,3.599,local,either
behavior,there,759.84,small,5.491,thus,raise
sign,popular,775.48,decade,0.649,employee,interest
week,film,380.57,themselves,5.914,push,nothing
mean,power,965.89,each,0.679,increase,include
establish,security,56.02,right,1.874,book,fast
produce,own,781.06,cost,8.944,by,attack
save,continue,649.7,system,4.144,campaign,turn
pick,option,810.05,away,9.208,program,PM
note,sound,550.23,break,0.934,involve,guy
as,appear,663.78,team,7.814,feel,involve
work,yeah,539.75,national,8.714,say,laugh
rich,anyone,838.48,leader,0.513,toward,court
should,business,458.77,book,0.262,represent,continue
bill,tell,994.85,strategy,7.718,world,interest
follow,identify,232.68,institution,9.036,property,health
part,computer,13.98,leg,5.448,really,response
property,certain,850.67,together,3.969,speak,full
side,key,135.91,should,1.074,instead,suggest
why,stop,643.4,speak,6.936,official,consumer
red,toward,546.35,think,0.373,space,fire
party,case,925.86,reason,9.485,type,hour
country,shoulder,194.46,because,5.01,natural,practice
she,north,319.07,movement,7.675,present,direction
newspaper,Democrat,635.36,admit,4.315,really,enough
find,act,121.51,describe,4.31,position,wife
record,hospital,797.45,unit,5.078,authority,no
position,shoulder,973.81,available,1.877,despite,land
he,economic,666.54,security,3.476,pretty,whom
total,without,306.55,according,7.49,free,hair
kitchen,so,697.33,eye,6.651,general,unit
sport,former,677.04,young,3.367,money,middle
quality,which,946.92,suffer,1.787,east,letter
near,into,204.56,per,8.791,shake,morning
conference,well,919.73,wide,7.147,season,cost
receive,democratic,475.51,certainly,7.046,energy,risk
try,data,278.07,movement,8.103,strong,nature
point,about,321.75,road,9.668,hard,many
rate,thank,950.48,almost,3.097,reduce,suggest
scientist,size,650.07,set,9.606,ability,spend
certain,including,703.61,story,9.742,best,sound
who,evening,30.42,stock,6.686,table,edge
ok,professor,458.81,station,8.23,career,now
one,describe,317.08,to,4.546,until,sell
so,choose,75.0,tend,5.973,campaign,begin
manage,fight,24.38,could,0.859,me,could
third,stand,947.01,statement,9.538,deal,among
describe,live,619.05,third,8.195,sure,memory
choose,movement,520.08,plan,2.024,become,computer
his,mouth,940.2,significant,0.714,under,garden
agree,national,836.3,reach,9.572,mouth,simply
word,enter,831.0,image,0.462,to,prevent
environment,between,323.78,century,7.37,even,development
in,risk,228.23,together,7.364,goal,reduce
professional,identify,295.91,less,3.443,prepare,during
city,with,564.81,keep,0.793,law,early
answer,possible,54.42,budget,3.055,design,card
public,support,573.32,all,5.174,require,marriage
budget,about,353.9,measure,9.475,commercial,benefit
medical,so,325.51,recognize,5.127,meet,first
truth,it,825.89,thousand,9.087,smile,property
those,inside,736.51,purpose,8.391,defense,follow
plant,still,955.7,people,0.209,prove,hot
carry,score,893.7,fear,5.75,arm,candidate
within,establish,797.28,their,0.537,everything,give
these,cost,386.86,idea,8.818,rule,indeed
debate,make,299.28,set,7.401,stuff,south
father,how,362.57,certain,1.993,watch,necessary
network,option,810.98,road,5.194,pay,stage
once,simply,87.99,cold,6.655,table,question
per,book,990.27,little,1.51,at,perhaps
gas,item,335.43,music,5.417,end,consumer
culture,friend,230.61,become,3.981,eat,crime
machine,above,168.36,wall,7.685,daughter,half
face,shoulder,683.18,seem,6.369,somebody,very
away,woman,111.05,against,2.395,avoid,hour
finally,report,268.12,fire,2.945,night,language
teach,authority,854.41,sea,4.406,television,amount
from,suggest,590.47,night,3.297,Congress,together
part,loss,519.76,daughter,0.613,off,dog
outside,sit,273.99,information,1.685,audience,make
interest,fact,715.97,baby,5.879,author,case
officer,several,634.4,pass,7.601,door,chair
news,current,468.26,certain,9.812,black,maintain
bit,line,422.2,speak,9.867,none,decide
trade,assume,687.85,structure,8.917,enjoy,morning
start,mission,895.39,each,6.669,office,executive
here,site,586.14,into,8.248,relate,special
should,baby,817.51,glass,7.103,force,defense
what,dog,422.7,participant,4.238,series,join
yard,authority,334.75,heavy,2.905,think,perform
behavior,lot,257.03,worry,9.366,article,glass
certain,move,214.37,after,1.621,dinner,store
realize,happy,637.27,deep,5.303,first,although
design,where,77.68,major,3.23,activity,well
head,research,359.66,executive,9.328,by,include
network,today,787.34,organization,2.616,foot,interesting
information,movie,121.38,spring,2.646,music,respond
choose,light,666.17,learn,9.343,this,participant
always,finally,369.06,I,4.626,store,important
collection,course,801.91,rock,6.633,plan,though
nothing,safe,230.78,consider,8.971,red,artist
relationship,cut,516.99,hotel,4.848,behind,whole
newspaper,charge,920.16,wait,7.678,bag,including
develop,soon,19.62,whose,3.804,TV,many
late,while,370.81,minute,0.4,should,family
available,pick,521.28,indicate,0.852,bank,out
music,walk,354.55,wind,7.48,especially,put
anything,first,443.93,mother,6.075,force,paper
he,sure,65.6,attack,3.764,enjoy,future
citizen,send,411.92,interview,8.391,likely,drop
two,born,452.92,music,8.089,central,election
image,beautiful,417.38,recognize,6.027,brother,left
free,sit,933.71,me,0.833,table,local
worker,stage,269.43,reflect,9.749,stuff,single
sense,turn,528.95,however,4.625,policy,point
key,quite,185.91,job,4.645,cell,how
matter,seek,684.02,listen,8.01,imagine,himself
fight,news,58.87,oil,3.361,then,great
beat,offer,167.28,necessary,6.302,throw,know
husband,site,395.79,price,0.226,energy,behavior
stage,side,37.3,situation,4.168,those,save
throw,modern,993.8,white,2.961,clear,trial
woman,energy,9.41,put,4.279,treatment,news
hospital,system,122.64,country,7.825,hear,race
center,market,517.83,product,5.519,herself,happy
prepare,leave,790.59,reduce,2.094,strong,leg
property,area,414.13,hundred,4.351,tree,war
pull,partner,633.9,with,1.894,deep,account
able,notice,29.9,interview,0.782,pick,material
series,country,599.03,commercial,5.34,partner,every
whatever,assume,565.52,follow,7.423,natural,send
computer,again,663.47,knowledge,8.091,piece,thus
central,low,485.61,building,6.423,house,human
step,realize,372.35,minute,2.476,recent,drive
us,at,151.55,raise,1.922,this,consider
medical,local,438.86,expert,4.188,best,organization
her,oil,461.07,choose,9.226,our,summer
forget,lose,508.37,sound,5.29,little,type
no,price,836.43,hundred,8.513,nation,remain
show,throughout,862.28,card,1.0,involve,sense
second,third,216.33,close,3.881,image,paper
management,our,95.19,American,2.15,nature,simply
change,open,176.63,president,1.116,member,single
fall,indeed,70.0,his,1.311,community,my
spring,public,613.64,eye,1.642,song,often
role,a,481.62,sing,9.334,later,into
tonight,bag,93.61,protect,6.339,out,suddenly
there,back,515.26,born,4.912,top,administration
mind,physical,517.23,sell,2.302,begin,fall
range,note,433.4,painting,7.851,region,own
despite,early,826.75,such,1.55,bed,price
determine,large,670.97,analysis,6.572,threat,third
turn,assume,244.95,form,7.358,future,top
expert,within,500.4,deep,7.816,message,product
worker,when,513.03,book,9.785,Mr,huge
age,own,158.42,method,5.025,region,act
end,discover,992.38,security,1.84,forget,it
dinner,operation,514.57,front,9.302,direction,development
big,necessary,772.04,present,9.721,here,yard
entire,impact,222.86,country,7.561,fire,state
have,nice,810.75,traditional,9.376,place,how
old,great,111.6,wrong,5.704,effort,bit
simple,identify,739.57,individual,9.073,street,race
expert,prepare,163.5,nearly,1.986,better,court
sense,mean,217.99,animal,2.187,budget,game
enjoy,voice,793.18,although,9.763,their,out
major,morning,419.32,media,3.478,everybody,against
decade,then,375.83,PM,5.607,job,from
bad,partner,133.12,guess,8.502,reduce,yeah
paper,herself,903.95,quickly,5.484,adult,message
listen,natural,535.65,weight,9.692,early,speak
bed,coach,95.43,material,0.111,American,office
million,able,906.52,health,0.242,light,billion
hour,team,599.17,program,5.942,he,mean
responsibility,matter,7.02,loss,1.097,long,spend
ever,their,417.63,order,8.307,ever,different
store,blood,635.65,ago,6.255,require,girl
whole,day,827.03,future,2.63,music,in
everybody,others,998.96,have,9.381,avoid,coach
sell,far,179.11,eat,9.174,opportunity,safe
decision,notice,329.55,later,8.386,discuss,enough
view,occur,167.03,management,8.519,decision,add
thus,watch,195.17,yes,5.998,mother,sport
your,outside,666.31,car,4.391,baby,partner
pretty,local,440.75,record,0.781,recognize,college
rate,Congress,297.23,run,3.555,ever,leave
manager,safe,842.36,prevent,5.6,trouble,design
adult,represent,690.43,chance,8.062,page,right
material,practice,913.14,yeah,2.115,knowledge,local
week,day,355.76,forward,2.223,whether,mind
all,speech,783.3,you,8.623,especially,member
floor,maintain,193.54,economic,7.385,believe,event
popular,administration,98.15,including,5.561,a,child
seek,health,569.66,store,9.748,happen,pass
market,condition,423.52,age,0.121,car,minute
interview,wall,521.15,station,6.037,hospital,professor
product,pressure,356.07,number,9.951,than,value
religious,about,387.84,cell,8.112,strong,owner
world,light,290.37,moment,2.021,single,where
food,consider,99.37,admit,8.435,perhaps,agent
us,thank,225.87,job,4.907,culture,moment
day,describe,211.17,none,4.043,wonder,rate
stage,baby,736.84,blue,2.553,investment,theory
plan,she,797.37,general,8.542,set,face
into,dream,823.61,whom,3.736,matter,century
mission,arm,761.81,above,1.593,determine,skill
authority,successful,913.11,produce,1.382,be,result
fill,way,837.06,song,7.916,apply,find
few,value,133.33,toward,2.75,few,yes
religious,network,351.0,trouble,5.578,receive,shake
few,heart,478.83,dark,6.645,mention,fear
ago,natural,981.04,per,4.616,example,whether
four,little,853.16,hard,4.057,account,above
girl,huge,724.46,professor,1.339,husband,manage
will,production,521.02,well,7.171,we,again
mention,represent,226.41,live,2.918,drop,should
professional,space,884.89,talk,1.075,collection,financial
recent,like,992.53,boy,8.517,two,sing
draw,fast,808.67,among,5.531,score,hand
conference,social,7.79,wide,1.825,occur,ago
six,management,668.11,center,0.385,however,a
ground,news,889.58,network,8.331,free,water
simple,appear,501.74,case,1.725,modern,bad
however,hope,581.47,billion,1.53,few,which
cultural,although,853.6,remember,6.909,top,dinner
available,American,363.11,teach,3.882,night,how
only,break,166.8,list,1.183,source,thus
word,same,500.47,power,4.21,majority,likely
begin,put,3.23,go,9.007,indeed,start
water,which,306.44,data,1.656,let,think
service,others,627.19,college,5.384,they,dinner
occur,clear,11.65,personal,3.233,drug,close
two,everybody,42.24,already,9.832,quickly,than
thus,someone,10.58,answer,5.318,support,without
no,pay,644.68,mean,0.44,total,event
very,plant,872.31,back,9.582,throw,must
side,analysis,878.96,good,8.732,process,different
leave,manager,557.23,can,1.874,require,matter
produce,modern,297.3,consumer,4.672,attack,example
friend,hair,11.82,couple,1.98,source,happen
lose,affect,854.92,apply,0.332,improve,center
reason,room,174.13,attorney,9.647,method,hospital
hold,art,684.78,yes,9.519,job,hope
imagine,particularly,807.08,central,2.445,car,dream
quality,whatever,933.23,election,3.799,family,least
discuss,enough,32.57,need,2.659,east,bring
recent,boy,214.17,simply,1.936,performance,which
box,tonight,196.3,fact,5.914,Congress,rate
